Account,Dollar,Country,SIC,Decision,POS,Card,Outcome
828381,656.67,4,1351,4,1,1,0
820380,678.35,4,2615,4,2,2,0
321211,644.60,4,3872,4,2,2,0
941957,551.17,4,2110,4,1,1,0
164676,639.32,4,1390,4,1,2,1
834864,411.42,4,4606,4,1,2,1
982342,354.73,4,2015,4,2,2,0
484381,480.47,4,3588,4,1,1,0
948751,674.51,5,2056,1,2,2,0
979951,617.39,5,4818,1,1,1,0
398484,546.42,5,3264,1,1,1,0
757463,457.37,5,3639,1,1,1,1
412096,468.54,5,2201,1,1,1,0
588010,395.17,5,5751,1,1,1,0
423583,358.67,5,1454,1,2,2,0
331664,524.58,5,1651,1,1,2,1
890070,452.33,5,4086,1,1,2,0
239817,290.96,5,4208,1,1,2,0
403282,554.66,5,4334,1,1,1,0
271982,498.40,5,5111,1,1,1,0
948554,441.96,5,4945,1,2,2,0
424956,471.69,5,5896,1,1,2,0
871185,515.77,5,4477,1,1,1,0
445421,527.84,5,2933,1,2,2,0
956145,420.77,5,1142,1,1,1,0
420893,467.32,5,4711,1,1,2,0
702797,582.14,5,3756,1,1,2,0
736641,708.06,5,1886,1,1,1,0
258690,405.50,6,5480,2,1,2,0
599834,373.43,6,3925,2,1,2,0
793630,505.38,6,5876,2,1,1,0
987647,571.83,6,2082,2,2,2,0
903764,448.35,6,2446,2,1,2,1
619114,414.16,6,1520,2,2,2,1
942632,424.36,6,1268,2,1,1,0
372213,458.88,6,5431,2,1,1,0
177485,610.49,6,3362,2,1,1,0
623014,381.35,6,5779,2,1,1,0
494531,419.84,6,4087,2,1,2,0
938087,465.82,6,2032,2,1,1,1
491282,454.18,6,1937,2,1,1,0
376377,492.74,6,1325,2,1,1,0
982937,579.12,6,4607,2,1,2,0
544475,493.09,6,1829,2,2,2,0
343411,502.21,6,4075,2,1,1,0
653508,424.27,6,1599,2,1,1,0
935769,374.05,6,3928,2,1,1,0
538579,494.65,6,5651,2,1,2,0
753208,540.94,7,1597,3,1,2,0
983400,574.57,7,1907,3,1,1,0
286119,613.01,7,2237,3,1,1,0
379195,556.06,7,1765,3,2,2,0
229801,504.80,7,5649,3,1,1,0
644312,421.78,7,4976,3,1,1,0
408443,465.66,7,3736,3,1,1,0
730652,736.86,7,1050,3,1,1,0
759144,524.52,7,4379,3,1,2,0
216461,552.60,7,4820,3,2,2,1
685074,356.62,7,2691,3,1,1,0
633681,668.61,7,3034,3,1,2,0
747152,616.67,7,2345,3,1,1,1
477841,439.37,7,4071,3,1,2,0
632320,504.95,7,3277,3,1,1,0
945976,476.10,7,5535,3,2,2,0
956209,496.04,7,1547,3,2,2,1
867444,584.06,7,1649,3,1,2,0
350197,506.01,7,2100,3,1,1,0
162870,524.20,7,3624,3,2,2,1
903071,516.20,8,2928,4,2,2,1
187855,472.69,8,2751,4,1,1,1
392246,623.12,8,3775,4,1,2,0
171442,559.63,8,5784,4,1,1,0
353344,511.37,8,5609,4,1,2,1
574135,545.78,8,2791,4,2,2,0
304041,597.90,8,2746,4,2,2,0
441421,544.37,8,5436,4,1,1,0
625634,567.67,8,4980,4,1,1,0
602847,585.52,8,3735,4,1,1,0
874308,470.86,8,4500,4,1,2,0
472743,566.57,8,2516,4,1,1,0
788380,457.79,8,5048,4,2,2,0
533357,641.62,8,4741,4,1,1,1
432667,722.60,8,2403,4,1,1,0
302858,653.39,8,3968,4,1,1,0
306226,380.05,8,4110,4,2,2,0
594392,371.95,8,3776,4,1,1,0
519453,464.06,8,1044,4,1,1,0
351443,508.01,8,1230,4,1,2,0
120082,488.27,9,1058,1,2,2,0
534536,441.95,9,1175,1,1,1,1
296282,441.19,9,1309,1,1,1,0
983569,530.55,9,2181,1,1,1,1
552557,467.49,9,4843,1,2,2,0
868213,688.55,9,4372,1,1,1,0
586647,627.83,9,2659,1,1,1,0
782735,654.76,9,1234,1,2,2,0
303295,594.58,9,4199,1,1,1,0
849663,561.28,9,5917,1,1,1,1
360821,480.25,9,5991,1,2,2,0
379623,629.12,9,5211,1,2,2,0
924585,521.05,9,2169,1,1,1,0
708271,653.15,9,4755,1,2,2,1
432199,413.00,9,4544,1,2,2,0
283001,564.68,9,1653,1,1,2,1
357645,575.89,9,3712,1,1,1,0
283551,393.08,9,1112,1,1,1,0
469394,477.49,9,3425,1,1,1,1
320824,702.30,9,2529,1,1,2,0
991793,527.40,10,2076,2,1,2,0
153460,531.84,10,1534,2,2,2,0
249168,369.52,10,3583,2,2,2,0
868538,353.39,10,3688,2,1,2,1
876392,569.79,10,3206,2,1,1,0
722844,297.87,10,1638,2,1,1,0
629271,522.91,10,5151,2,1,1,0
119624,413.00,10,3497,2,2,2,1
827931,478.24,10,4476,2,1,1,0
308926,360.19,10,2038,2,1,1,0
876389,662.37,10,4449,2,1,2,0
351148,442.85,10,3449,2,2,2,0
254265,397.42,10,2145,2,2,2,0
508965,516.89,10,3667,2,2,2,0
659131,469.22,10,2089,2,1,1,0
280467,431.95,10,4557,2,1,1,0
624854,472.64,10,5908,2,1,2,1
637380,457.04,10,3743,2,2,2,0
269074,476.70,10,5334,2,1,1,0
821966,628.44,10,1527,2,1,2,0
684687,474.51,1,4229,3,1,1,0
904851,475.28,1,4674,3,1,1,0
181617,454.20,1,5775,3,1,1,0
694870,698.68,1,2612,3,1,2,0
587976,432.43,1,3224,3,2,2,0
415935,612.33,1,5042,3,1,1,0
124651,453.73,1,2892,3,1,1,1
955189,557.45,1,4109,3,1,1,0
429860,308.01,1,3330,3,2,2,0
306842,584.98,1,4281,3,2,2,0
302506,387.03,1,2103,3,1,1,0
763043,434.70,1,5081,3,1,1,0
512055,634.53,1,3781,3,1,2,0
926172,552.32,1,3991,3,1,1,1
984022,205.28,1,1093,3,2,2,0
957476,444.88,1,5873,3,2,2,0
228309,748.89,1,1170,3,1,1,0
238465,507.25,1,5175,3,1,1,1
712474,590.53,1,5637,3,2,2,1
956001,350.77,1,2180,3,1,2,0
294961,616.50,2,1615,4,1,2,0
831812,629.08,2,2494,4,1,1,0
703846,487.02,2,3216,4,1,2,1
961572,420.51,2,4079,4,1,1,1
197340,443.65,2,4705,4,2,2,0
531814,565.84,2,4439,4,1,2,0
672020,619.33,2,1612,4,1,1,0
633899,410.02,2,2822,4,1,1,0
185221,397.58,2,4198,4,1,2,1
352800,492.78,2,3803,4,1,2,0
675251,392.74,2,4857,4,2,2,0
955531,577.08,2,4174,4,1,1,0
922125,647.19,2,1564,4,2,2,1
329641,411.13,2,2778,4,1,2,0
527485,406.49,2,2467,4,2,2,0
651747,538.22,2,1114,4,1,2,0
813377,354.11,2,4041,4,1,1,1
210773,386.85,2,4058,4,1,1,1
173777,466.45,2,3022,4,1,2,0
871230,502.62,2,5843,4,1,2,0
838891,576.33,3,1799,1,1,2,0
699646,558.27,3,1949,1,1,1,0
972864,498.27,3,3786,1,1,2,0
190945,529.72,3,4991,1,1,2,0
134987,411.49,3,3517,1,1,2,1
261434,630.83,3,1759,1,1,1,0
220852,571.11,3,3241,1,1,2,0
927084,616.79,3,1103,1,1,2,0
624750,435.88,3,4597,1,2,2,0
150782,317.60,3,4679,1,1,1,0
569254,491.42,3,5970,1,1,1,0
532755,539.12,3,3058,1,1,2,0
342816,454.60,3,2828,1,1,1,0
935375,386.41,3,3376,1,2,2,0
877351,444.46,3,2693,1,2,2,0
911878,488.90,3,4444,1,1,1,0
580439,597.14,3,2983,1,1,2,0
602404,423.47,3,5670,1,1,2,0
210382,538.42,3,3844,1,1,1,0
648091,412.49,3,5853,1,1,2,0
778617,432.57,4,3544,2,1,1,0
350278,556.71,4,2632,2,1,1,0
914103,536.72,4,5399,2,2,2,0
233188,359.60,4,5317,2,1,1,1
677473,614.92,4,4187,2,1,1,0
316518,647.15,4,3347,2,1,1,0
312394,485.23,4,2221,2,1,2,0
629223,564.56,4,3652,2,2,2,0
652970,487.67,4,1126,2,2,2,0
906129,359.48,4,1317,2,1,1,0
712954,535.70,4,5848,2,1,2,0
960017,530.05,4,5139,2,1,1,0
735868,500.50,4,5868,2,2,2,0
206530,530.25,4,4934,2,1,1,0
652889,637.61,4,2165,2,1,1,0
176488,469.68,4,3194,2,1,1,1
837454,559.07,4,3652,2,2,2,0
577732,609.51,4,2869,2,2,2,0
276210,517.63,4,4875,2,1,1,0
904081,652.21,4,3136,2,1,1,0
379218,519.26,5,4429,3,1,1,1
941521,516.91,5,1196,3,1,1,0
643267,544.34,5,1642,3,1,2,0
472810,321.41,5,2315,3,1,1,0
233419,384.47,5,1908,3,1,2,0
571388,405.39,5,4388,3,1,2,1
456275,467.72,5,1832,3,1,2,1
422032,435.38,5,1764,3,2,2,0
412195,458.12,5,1836,3,1,2,1
128703,357.13,5,4019,3,2,2,0
622650,507.48,5,5746,3,1,2,0
215254,487.72,5,4775,3,2,2,0
784234,634.79,5,2745,3,1,2,0
600293,454.15,5,2244,3,1,1,0
825203,420.72,5,3432,3,1,1,1
700136,681.89,5,4586,3,1,2,0
812896,547.94,5,2688,3,1,1,0
343651,336.36,5,3523,3,1,1,0
963893,457.02,5,2505,3,1,2,1
963356,688.59,5,2461,3,1,2,1
399746,530.96,6,5265,4,1,2,0
936848,431.22,6,3505,4,1,1,1
284642,433.12,6,1014,4,2,2,1
858877,588.96,6,3951,4,1,1,0
170083,416.19,6,3188,4,1,1,0
428924,487.38,6,4499,4,1,1,0
778668,568.66,6,4193,4,1,2,0
273472,436.65,6,2289,4,1,2,0
217843,601.24,6,1354,4,1,1,0
262817,401.82,6,1747,4,1,2,0
219196,526.78,6,5709,4,1,1,1
673789,295.31,6,1344,4,1,2,1
716854,406.01,6,5488,4,1,2,1
252686,597.92,6,3470,4,2,2,0
419296,454.73,6,2274,4,1,1,0
933824,483.93,6,2933,4,1,1,0
266593,591.60,6,3934,4,2,2,0
132010,604.68,6,3595,4,1,2,0
169213,596.91,6,3740,4,2,2,0
195752,532.02,6,1294,4,1,1,1
798079,442.78,7,2023,1,1,2,0
947613,409.73,7,1173,1,1,1,0
652431,594.65,7,4797,1,1,1,0
593929,602.54,7,2785,1,1,2,0
621395,527.65,7,4879,1,1,1,0
891310,453.90,7,3078,1,2,2,0
806241,358.12,7,1563,1,2,2,1
259700,457.94,7,3480,1,2,2,0
705570,536.20,7,1510,1,1,2,1
436664,472.81,7,1346,1,2,2,0
998775,488.59,7,2471,1,1,2,1
404162,393.93,7,2078,1,1,1,0
411957,506.08,7,2617,1,1,2,0
617190,552.74,7,3880,1,1,2,0
483817,361.83,7,4044,1,1,1,0
363361,407.95,7,3538,1,2,2,1
906213,495.62,7,3059,1,1,1,0
301204,574.40,7,1115,1,2,2,0
210227,552.12,7,5698,1,1,1,0
617434,727.67,7,4622,1,1,1,0
811836,486.02,8,5556,2,1,1,0
524598,551.99,8,5402,2,1,1,0
772656,477.94,8,4798,2,2,2,0
667950,547.09,8,2469,2,1,2,0
112468,471.26,8,4018,2,1,1,0
439237,452.04,8,2626,2,1,2,0
789466,506.53,8,1535,2,1,1,0
746196,562.79,8,5991,2,1,1,0
312976,577.96,8,3167,2,1,1,0
927334,330.68,8,1252,2,1,2,0
717166,489.28,8,3206,2,1,1,0
636775,444.61,8,4770,2,2,2,1
465217,423.41,8,2876,2,1,1,0
316294,480.73,8,3774,2,1,1,1
634243,511.45,8,5215,2,1,1,1
101974,537.27,8,5062,2,1,2,0
365420,586.79,8,2551,2,1,2,0
638624,463.49,8,5475,2,2,2,0
967603,531.96,8,5313,2,1,1,0
273087,406.32,8,2246,2,1,2,0
951015,528.56,9,3803,3,1,1,0
335881,583.93,9,2762,3,1,2,0
552898,558.39,9,2811,3,1,2,0
915824,582.33,9,4073,3,1,2,0
621333,578.71,9,1278,3,2,2,0
539244,538.08,9,3126,3,1,2,0
808611,490.58,9,3340,3,1,2,0
294627,476.54,9,4570,3,1,1,1
206916,653.25,9,4586,3,1,1,1
711816,578.59,9,3315,3,1,2,0
361297,590.33,9,2611,3,2,2,0
812298,507.04,9,3475,3,1,2,0
696373,339.60,9,4323,3,1,2,0
897653,431.90,9,1383,3,2,2,1
776998,568.72,9,4782,3,1,1,0
218743,303.27,9,5074,3,1,1,0
910676,445.48,9,3382,3,1,1,0
900516,365.52,9,2819,3,2,2,1
785770,420.81,9,4859,3,2,2,0
943580,494.85,9,1831,3,1,1,0
810447,496.60,10,3221,4,1,1,0
892917,456.65,10,2513,4,1,1,0
174729,373.96,10,4200,4,1,2,0
249409,497.56,10,4050,4,1,1,0
186339,323.31,10,1270,4,1,1,0
733163,415.03,10,5894,4,1,1,0
851165,606.89,10,2094,4,2,2,1
402746,530.44,10,3902,4,1,1,0
516818,485.86,10,4042,4,2,2,0
773017,438.19,10,3583,4,1,2,0
961930,409.96,10,4479,4,2,2,0
283639,466.82,10,3651,4,1,1,1
603822,404.66,10,3207,4,1,2,0
310292,531.57,10,2325,4,1,1,0
979930,517.75,10,1008,4,1,2,0
696197,288.95,10,4542,4,1,1,0
103296,573.62,10,4787,4,1,1,0
125361,479.76,10,2251,4,2,2,0
187948,375.92,10,5472,4,2,2,0
228029,542.00,10,3768,4,1,1,0
445111,546.17,1,1860,1,2,2,0
714072,524.81,1,2110,1,2,2,1
261411,590.45,1,3561,1,1,1,0
784247,504.73,1,4355,1,1,2,1
661459,529.67,1,5908,1,2,2,0
699821,669.73,1,3399,1,1,2,0
342431,525.70,1,2360,1,1,1,0
135073,451.41,1,3724,1,2,2,0
372611,388.73,1,5405,1,1,1,0
782519,414.57,1,3327,1,1,1,1
686214,617.00,1,2936,1,1,1,0
585956,560.80,1,2718,1,1,2,0
194387,583.21,1,2420,1,1,1,0
252760,346.29,1,5947,1,1,2,0
266670,387.37,1,1827,1,1,1,0
682430,433.36,1,5037,1,1,1,0
882091,616.76,1,1519,1,2,2,0
547775,478.00,1,4579,1,2,2,0
445834,682.42,1,4692,1,2,2,1
612318,295.11,1,3557,1,1,1,0
613427,464.70,2,1352,2,1,1,1
416255,553.46,2,5098,2,1,1,0
722140,622.81,2,4255,2,2,2,0
885317,444.37,2,1198,2,1,2,0
787687,504.84,2,2934,2,1,2,0
807529,518.63,2,2288,2,1,1,1
858049,580.21,2,5451,2,1,2,0
298755,516.71,2,2638,2,1,2,0
915610,479.67,2,2075,2,1,2,0
570533,552.29,2,4808,2,1,1,0
115259,343.51,2,3862,2,1,1,0
596857,604.68,2,1217,2,1,2,1
683710,674.24,2,3535,2,1,2,0
824955,557.06,2,4685,2,1,1,1
980042,421.90,2,1741,2,2,2,0
555525,602.45,2,2471,2,2,2,0
962213,440.32,2,4339,2,2,2,0
918307,585.16,2,4165,2,1,1,0
125680,562.89,2,5410,2,1,2,1
616721,490.41,2,1021,2,1,1,0
554132,526.68,3,4056,3,1,2,0
966512,445.51,3,5775,3,1,2,0
652062,332.94,3,1357,3,1,1,1
638597,605.46,3,1070,3,1,1,0
703824,433.15,3,3499,3,1,2,0
199273,430.58,3,2681,3,2,2,0
981150,504.47,3,5841,3,2,2,0
724737,510.08,3,3791,3,1,1,1
732970,466.16,3,3568,3,1,1,0
734661,286.55,3,3441,3,1,1,0
424609,703.87,3,5278,3,2,2,1
798649,381.84,3,2399,3,1,1,0
823053,538.91,3,3696,3,1,1,0
873143,424.70,3,2710,3,2,2,0
220736,717.28,3,2009,3,2,2,0
520550,466.97,3,2322,3,1,2,0
844910,378.74,3,3643,3,2,2,1
694334,642.36,3,1511,3,1,2,0
415464,448.51,3,1370,3,2,2,0
298699,355.84,3,2141,3,2,2,1
118937,507.24,4,2682,4,1,1,0
744722,604.56,4,5315,4,1,1,0
241356,737.45,4,3608,4,1,1,0
154197,622.57,4,2751,4,1,1,1
464647,347.56,4,2375,4,2,2,0
796137,556.23,4,1803,4,1,1,0
268641,471.98,4,2567,4,1,1,0
569353,526.17,4,3922,4,1,2,0
760078,631.79,4,3469,4,1,1,0
518823,521.49,4,4493,4,2,2,0
945862,313.83,4,2061,4,1,1,0
120433,554.16,4,1647,4,1,1,0
624459,567.00,4,3566,4,1,2,0
261584,369.79,4,3429,4,2,2,0
230943,443.55,4,2368,4,1,1,0
426486,370.33,4,1579,4,1,2,0
962609,486.23,4,5299,4,1,1,0
748585,447.01,4,5877,4,1,2,0
196848,376.45,4,4072,4,2,2,0
333858,439.15,4,2977,4,2,2,1
305020,530.45,5,2591,1,1,1,1
348985,488.56,5,4297,1,1,2,0
576731,389.38,5,5175,1,2,2,0
252600,267.41,5,1874,1,2,2,0
211747,709.90,5,4438,1,1,1,0
901492,438.69,5,4877,1,1,1,0
795603,378.98,5,1251,1,1,2,0
783717,450.66,5,2396,1,1,2,0
152143,504.75,5,4615,1,2,2,0
530996,462.09,5,1841,1,1,1,0
819518,451.06,5,2154,1,1,1,0
954006,619.35,5,2222,1,1,2,0
886569,602.33,5,5703,1,1,2,0
734538,341.47,5,3306,1,1,2,1
867554,603.64,5,2592,1,1,1,0
583666,627.06,5,4188,1,1,2,0
975897,389.42,5,2905,1,1,1,0
967041,442.33,5,2327,1,1,1,0
880588,803.47,5,3576,1,2,2,0
733695,382.34,5,1443,1,1,1,0
948719,464.49,6,2819,2,1,2,0
488355,495.99,6,4668,2,2,2,0
221490,476.49,6,1574,2,2,2,1
504557,411.84,6,4472,2,2,2,0
818569,569.21,6,5269,2,1,1,0
557781,475.62,6,4053,2,1,1,0
305820,464.86,6,2081,2,2,2,0
422507,426.14,6,3488,2,1,2,0
913043,458.63,6,3050,2,1,1,1
815150,478.48,6,1821,2,1,2,0
202666,512.60,6,1191,2,2,2,0
509231,455.96,6,5201,2,1,2,0
364594,230.05,6,4119,2,1,1,0
624677,466.12,6,3052,2,1,1,0
788010,445.63,6,3817,2,1,1,0
155798,706.93,6,2648,2,1,1,0
787425,393.22,6,3395,2,1,1,1
705197,589.48,6,3787,2,1,1,0
536120,580.17,6,1371,2,1,1,0
384515,343.03,6,1693,2,1,1,0
295436,324.67,7,2474,3,2,2,0
708876,537.59,7,1187,3,1,2,0
963215,494.34,7,4935,3,2,2,0
148054,433.72,7,2165,3,1,2,0
788481,504.80,7,3602,3,2,2,0
810849,563.44,7,3968,3,2,2,0
680743,503.90,7,4027,3,1,1,1
375330,558.67,7,2518,3,2,2,0
808094,478.47,7,1556,3,2,2,0
561490,463.25,7,1723,3,1,2,1
492015,362.44,7,4877,3,1,1,0
833468,628.34,7,4865,3,1,1,1
407177,581.21,7,1395,3,1,1,0
573300,530.94,7,4317,3,1,1,0
339686,474.77,7,1348,3,1,1,0
935404,354.12,7,2933,3,1,1,0
515929,692.22,7,5946,3,1,1,0
124957,749.79,7,4943,3,1,2,0
216431,334.14,7,1236,3,1,1,0
237968,388.10,7,4937,3,1,2,0
109912,582.23,8,4922,4,1,1,1
707521,493.44,8,4841,4,1,1,0
410116,568.57,8,1817,4,1,1,1
330172,385.51,8,5283,4,1,2,0
340089,486.52,8,1858,4,1,1,0
964154,654.12,8,2023,4,1,1,0
198468,629.43,8,3224,4,1,1,1
462425,330.14,8,5572,4,1,2,0
418575,698.17,8,2994,4,2,2,0
164867,475.21,8,2926,4,1,1,1
962106,352.38,8,2625,4,1,1,1
272964,569.97,8,5668,4,1,1,0
975861,280.71,8,1143,4,1,2,1
654645,540.79,8,2359,4,1,1,0
161697,537.06,8,1055,4,1,1,0
627443,500.68,8,3430,4,1,2,0
607349,572.84,8,3950,4,1,1,0
195078,590.04,8,5383,4,1,2,0
401641,598.80,8,3316,4,2,2,1
812858,504.83,8,4740,4,1,2,0
263032,298.92,9,5832,1,2,2,0
668796,557.62,9,4171,1,2,2,1
940769,551.04,9,1925,1,2,2,1
326421,472.10,9,1214,1,2,2,0
936666,665.63,9,5503,1,1,1,0
908603,590.96,9,4639,1,1,1,0
550357,569.06,9,4066,1,1,1,0
654776,611.87,9,4756,1,1,2,1
791935,556.35,9,1416,1,1,1,0
794548,386.15,9,2855,1,1,1,1
196658,380.43,9,5012,1,2,2,0
547826,554.38,9,2671,1,1,1,0
246165,561.44,9,2217,1,1,1,1
293444,423.35,9,5601,1,2,2,1
288097,411.25,9,3362,1,2,2,0
435397,729.73,9,4319,1,1,2,0
153038,500.86,9,3562,1,1,1,0
444269,546.29,9,4528,1,1,2,0
220417,558.99,9,1894,1,1,1,0
287041,339.22,9,1159,1,1,2,0
855935,486.92,10,1242,2,1,1,0
382963,425.07,10,3874,2,1,1,0
116547,542.16,10,5307,2,2,2,0
276737,383.63,10,2323,2,1,2,0
252107,458.24,10,1553,2,1,1,1
652583,396.24,10,4241,2,1,2,0
990146,520.10,10,2556,2,1,1,0
774270,542.97,10,2096,2,2,2,0
321902,381.08,10,1857,2,1,1,0
128011,610.01,10,2098,2,1,1,0
152448,521.02,10,1752,2,1,2,0
794846,540.31,10,3771,2,2,2,1
208694,293.15,10,3355,2,1,1,0
446009,528.49,10,4775,2,1,1,0
313103,407.22,10,2087,2,1,2,1
110975,524.03,10,1612,2,1,2,0
998678,490.53,10,3384,2,2,2,1
218825,338.92,10,3714,2,1,2,0
897800,563.81,10,2351,2,1,2,1
245318,401.78,10,1251,2,1,1,0
716976,624.20,1,4479,3,2,2,1
240715,533.73,1,3987,3,2,2,0
586588,492.58,1,2073,3,2,2,0
509141,432.37,1,1126,3,1,2,0
758546,543.59,1,3747,3,1,1,0
196842,449.94,1,1069,3,1,1,0
171126,445.49,1,5699,3,1,1,0
610516,412.87,1,4111,3,1,2,0
993604,336.11,1,2404,3,1,2,0
904285,475.00,1,1604,3,1,1,0
757592,460.63,1,4489,3,1,1,0
807007,603.68,1,1660,3,2,2,1
984192,666.86,1,3053,3,1,1,0
714767,499.10,1,1914,3,1,1,0
122523,599.09,1,3972,3,1,2,0
841638,375.39,1,3815,3,2,2,1
296623,456.54,1,2122,3,1,1,0
827857,390.03,1,5482,3,2,2,0
340129,566.15,1,3151,3,1,1,0
394209,520.03,1,2678,3,1,2,0
396979,411.19,2,2556,4,2,2,0
337515,519.32,2,4636,4,1,1,0
319561,347.30,2,4827,4,2,2,0
658961,533.84,2,1538,4,1,1,1
220951,331.22,2,1904,4,1,1,0
789012,496.78,2,5626,4,1,2,0
955613,505.04,2,3413,4,1,2,0
587490,686.43,2,5809,4,1,1,0
147956,492.86,2,4661,4,1,2,0
539765,542.92,2,3085,4,1,1,1
625201,419.90,2,2189,4,1,1,0
427249,531.11,2,2810,4,1,1,0
573616,647.09,2,3503,4,1,1,0
336446,414.00,2,5020,4,1,2,0
320753,546.91,2,4479,4,1,2,0
565940,465.02,2,3458,4,1,1,1
927055,704.00,2,4071,4,1,2,1
704187,323.97,2,4131,4,1,1,0
746636,325.85,2,4438,4,2,2,0
195133,629.57,2,5250,4,1,2,0
970856,388.90,3,2165,1,1,1,0
654491,685.16,3,1281,1,1,2,0
672573,253.13,3,4722,1,1,1,0
535231,534.88,3,2888,1,1,1,0
455349,297.19,3,2571,1,1,2,0
164216,508.36,3,4114,1,1,1,0
775473,723.43,3,1469,1,1,2,0
661472,498.30,3,2765,1,2,2,0
833240,586.47,3,3668,1,1,1,0
348160,476.35,3,4480,1,2,2,0
621766,432.89,3,3845,1,1,1,0
420312,527.33,3,2998,1,1,2,0
585866,449.41,3,4687,1,1,2,0
359720,416.56,3,2676,1,1,2,0
851451,501.69,3,5358,1,1,1,0
217114,514.31,3,4497,1,1,1,1
725953,587.60,3,5455,1,1,1,0
965970,640.19,3,1342,1,1,2,0
729862,458.20,3,3419,1,1,1,0
181498,603.35,3,5011,1,1,1,1
621954,457.16,4,1523,2,1,2,0
963411,490.04,4,1489,2,2,2,0
164465,416.95,4,2772,2,2,2,0
564552,524.47,4,2457,2,1,2,0
211320,415.08,4,3462,2,1,2,0
610166,302.29,4,3234,2,1,2,0
421418,467.00,4,4601,2,1,1,0
755984,487.72,4,2984,2,2,2,0
260002,551.71,4,3003,2,2,2,0
770291,466.60,4,3678,2,1,1,1
280028,616.32,4,1158,2,1,2,0
678202,475.62,4,5671,2,1,1,0
336901,377.08,4,1579,2,1,1,0
968063,409.89,4,5238,2,1,1,0
830908,506.71,4,2567,2,2,2,0
873584,626.80,4,5919,2,1,2,0
957691,571.33,4,3593,2,2,2,0
629349,572.30,4,1330,2,1,1,0
700592,494.44,4,1534,2,1,1,0
810182,666.58,4,2187,2,1,2,1
190703,647.95,5,4467,3,2,2,0
723534,564.50,5,4120,3,1,1,0
542041,530.78,5,5527,3,2,2,0
458881,455.26,5,3862,3,1,2,0
989823,428.07,5,4138,3,2,2,0
538447,512.70,5,5687,3,1,1,1
793674,398.29,5,3706,3,2,2,0
320492,538.28,5,1951,3,1,1,0
498415,643.33,5,5468,3,1,2,0
560422,636.44,5,4939,3,1,2,0
397238,592.47,5,3367,3,1,1,0
487397,374.67,5,5858,3,1,1,0
738633,401.07,5,5436,3,1,1,0
541176,517.88,5,4690,3,2,2,1
754084,600.37,5,1069,3,1,1,0
513219,505.96,5,1808,3,1,1,0
132335,630.04,5,1758,3,2,2,0
